id,date,amount,merchant,description,category
7071,2023-11-08,9.99,Local High School,Taxi ride,Education
7072,2023-12-02,44.19,Mall Outlet,Mall Outlet - Taxi ride,Shopping
7073,2023-11-25,20.98,Local Taxi,Taxi ride,Food
7074,2025-10-07,66.55,Williams LLC,Williams LLC - Online purchase,Food
7075,2025-10-06,20.5,Amazon Marketplace,Amazon Marketplace - Monthly subscription,Shopping
7076,2025-09-14,36.98,Collins-Morris,Collins-Morris - Flight booking,Travel
7077,2024-12-21,17.22,"Bennett, Jacobs and Brooks",Flight booking,Utilities
7078,2024-04-23,11.1,Greene-Mooney,Greene-Mooney - Course fee,Entertainment
7079,2026-02-04,26.66,Smith PLC,Smith PLC - Hotel stay,Travel
7080,2025-11-04,1.29,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Others
7081,2025-10-18,155.65,Uber Eats,Monthly subscription,Transport
7082,2025-04-03,9.84,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
7083,2026-03-07,40.2,State University,State University - Grocery shopping,Education
7084,2025-06-13,57.36,Mall Outlet,Mall Outlet - Monthly subscription,Travel
7085,2025-01-11,17.42,Gas Station,Gas Station - Prescription purchase,Bills
7086,2024-05-19,9.1,Starbucks Coffee,Course fee,Health
7087,2025-05-30,32.86,Ellis Inc,Ellis Inc - Hotel stay,Travel
7088,2024-01-27,59.9,Uber Eats,Uber Eats - Flight booking,Transport
7089,2026-08-17,52.9,Lyft,Lyft - Prescription purchase,Transport
7090,2024-07-22,6.83,Krause Inc,Krause Inc - Grocery shopping,Shopping
7091,2024-12-08,12.42,Cantrell Inc,Electric bill payment,Bills
7092,2025-03-05,38.84,Hilton Hotels,Hilton Hotels - Course fee,Travel
7093,2025-06-22,36.95,Corner Grocery,Online purchase,Food
7094,2025-03-03,59.92,"Henry, Williams and Horn","Henry, Williams and Horn - Monthly subscription",Transport
7095,2024-05-22,8.9,Joe's Pizza,Joe's Pizza - Prescription purchase,Food
7096,2025-03-10,1.57,Starbucks Coffee,Starbucks Coffee - Hotel stay,Travel
7097,2026-05-05,5.73,Bartlett and Sons,Course fee,Education
7098,2025-08-13,11.52,State University,Hotel stay,Travel
7099,2026-06-06,7.75,Amazon Marketplace,Amazon Marketplace - Lunch with friends,Shopping
7100,2025-07-31,3.29,"Beck, Carpenter and Buchanan",Taxi ride,Health
7101,2024-01-26,38.39,State University,State University - Flight booking,Education
7102,2025-05-04,11.37,Hernandez-Keith,Hernandez-Keith - Gas refill,Bills
7103,2023-11-09,26.84,State University,State University - Course fee,Education
7104,2025-10-22,6.24,Uber Eats,Uber Eats - Course fee,Transport
7105,2026-05-26,5.75,Uber Eats,Uber Eats - Prescription purchase,Transport
7106,2025-04-10,33.16,Ramirez Group,Ramirez Group - Online purchase,Transport
7107,2026-07-05,8.67,Lyft,Grocery shopping,Transport
7108,2025-11-05,85.87,Walmart Supercenter,Online purchase,Shopping
7109,2026-01-05,60.83,"Russo, Brown and Phillips","Russo, Brown and Phillips - Gas refill",Bills
7110,2023-10-18,148.41,Mall Outlet,Mall Outlet - Course fee,Utilities
7111,2026-03-26,54.52,Delta Airlines,Lunch with friends,Travel
7112,2024-01-26,39.05,Corner Grocery,Corner Grocery - Lunch with friends,Travel
7113,2024-07-04,5.69,Waterworks,Waterworks - Monthly subscription,Bills
7114,2023-12-23,4.84,Price-Williams,Gas refill,Bills
7115,2025-07-09,20.75,Netflix Streaming,Gas refill,Entertainment
7116,2025-03-01,31.66,Buckley-Hess,Taxi ride,Shopping
7117,2025-04-05,63.07,"Ferguson, Herrera and Dominguez","Ferguson, Herrera and Dominguez - Gas refill",Bills
7118,2025-05-07,9.58,Local Taxi,Local Taxi - Lunch with friends,Education
7119,2024-09-15,25.76,Netflix Streaming,Online purchase,Entertainment
7120,2026-04-15,23.76,Hilton Hotels,Online purchase,Travel
7121,2023-10-13,21.72,Delta Airlines,Hotel stay,Travel
7122,2024-12-30,22.07,Knight-Moran,Online purchase,Transport
7123,2023-11-02,30.81,Spotify,Electric bill payment,Entertainment
7124,2024-02-14,28.34,"Holland, Harvey and Reid","Holland, Harvey and Reid - Grocery shopping",Shopping
7125,2024-09-17,3.87,Adkins LLC,Adkins LLC - Course fee,Bills
7126,2023-09-07,18.77,Delta Airlines,Delta Airlines - Flight booking,Travel
7127,2024-05-25,4.6,CVS Pharmacy,CVS Pharmacy - Course fee,Health
7128,2026-02-19,92.45,Taylor-Howard,Online purchase,Others
7129,2026-08-28,13.12,Spotify,Grocery shopping,Entertainment
7130,2023-11-10,122.43,Starbucks Coffee,Grocery shopping,Others
7131,2024-01-03,112.71,State University,State University - Online purchase,Education
7132,2023-12-11,5.4,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
7133,2025-05-31,45.4,"Gordon, Jimenez and Lawson",Flight booking,Food
7134,2024-02-15,32.01,Corner Grocery,Corner Grocery - Gas refill,Bills
7135,2026-08-01,3.97,CVS Pharmacy,Monthly subscription,Health
7136,2024-05-07,13.54,Gray-Hall,Gray-Hall - Electric bill payment,Bills
7137,2026-04-23,10.91,Corner Grocery,Corner Grocery - Prescription purchase,Food
7138,2026-08-04,57.07,Williams-Sanchez,Williams-Sanchez - Online purchase,Food
7139,2026-05-02,14.87,State University,State University - Lunch with friends,Education
7140,2026-04-26,30.03,Bond Ltd,Taxi ride,Utilities
7141,2025-02-05,4.06,City Hospital,City Hospital - Lunch with friends,Travel
7142,2026-07-19,3.73,Walmart Supercenter,Lunch with friends,Shopping
7143,2023-12-11,120.43,Local Taxi,Local Taxi - Lunch with friends,Shopping
7144,2026-01-10,26.41,Electric Company,Prescription purchase,Bills
7145,2025-06-04,5.96,Gas Station,Gas Station - Lunch with friends,Bills
7146,2024-06-09,16.75,Corner Grocery,Corner Grocery - Grocery shopping,Bills
7147,2023-09-10,13.67,Miller-Ramirez,Miller-Ramirez - Electric bill payment,Bills
7148,2025-05-27,46.09,Hilton Hotels,Taxi ride,Travel
7149,2026-07-29,5.44,CVS Pharmacy,CVS Pharmacy - Monthly subscription,Health
7150,2023-11-09,14.05,Avery Ltd,Avery Ltd - Monthly subscription,Food
7151,2024-07-28,13.9,State University,Monthly subscription,Education
7152,2024-04-04,67.9,Melton and Sons,Melton and Sons - Course fee,Others
7153,2026-02-13,8.67,City Hospital,City Hospital - Course fee,Utilities
7154,2025-07-12,15.42,Netflix Streaming,Netflix Streaming - Electric bill payment,Entertainment
7155,2024-07-27,16.2,Joe's Pizza,Joe's Pizza - Gas refill,Food
7156,2024-06-30,17.97,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
7157,2026-02-20,9.44,Electric Company,Electric Company - Hotel stay,Travel
7158,2024-05-05,1.25,Burgess-Chen,Electric bill payment,Bills
7159,2026-04-07,25.41,Uber Eats,Flight booking,Transport
7160,2024-07-09,35.3,Santiago-Hartman,Prescription purchase,Others
7161,2024-01-28,29.61,Mall Outlet,Mall Outlet - Gas refill,Bills
7162,2023-09-11,37.93,Spotify,Gas refill,Entertainment
7163,2023-11-26,11.16,Lee-Burns,Lee-Burns - Gas refill,Bills
7164,2024-09-03,27.9,Gray and Sons,Flight booking,Food
7165,2024-11-01,17.78,Rose-Hodge,Lunch with friends,Others
7166,2026-04-06,5.64,Stevenson-Hall,Stevenson-Hall - Lunch with friends,Entertainment
7167,2024-06-02,11.32,Electric Company,Lunch with friends,Bills
7168,2024-07-03,78.64,Pierce Ltd,Lunch with friends,Others
7169,2024-03-01,48.49,Weiss and Sons,Weiss and Sons - Flight booking,Travel
7170,2025-09-06,17.49,Walmart Supercenter,Walmart Supercenter - Lunch with friends,Shopping
7171,2024-09-22,9.43,Delta Airlines,Grocery shopping,Travel
7172,2026-02-27,7.01,Waterworks,Prescription purchase,Bills
7173,2024-03-25,24.04,Waterworks,Waterworks - Monthly subscription,Bills
7174,2024-02-11,10.71,Gas Station,Gas Station - Online purchase,Bills
7175,2026-03-17,18.47,Starbucks Coffee,Starbucks Coffee - Flight booking,Travel
7176,2023-11-27,40.69,Mall Outlet,Prescription purchase,Utilities
7177,2025-08-22,12.73,Joe's Pizza,Joe's Pizza - Online purchase,Food
7178,2024-04-09,10.59,"Garcia, Padilla and Finley",Hotel stay,Travel
7179,2025-05-13,19.83,"Caldwell, Gould and Johnson",Hotel stay,Travel
7180,2025-11-01,1.15,Mall Outlet,Flight booking,Shopping
7181,2025-03-07,9.83,Santos Ltd,Course fee,Health
7182,2024-07-03,27.41,Gas Station,Gas Station - Grocery shopping,Bills
7183,2026-01-05,5.0,Spotify,Lunch with friends,Entertainment
7184,2026-07-18,90.9,City Hospital,Course fee,Utilities
7185,2023-10-10,19.94,Freeman PLC,Freeman PLC - Gas refill,Bills
7186,2026-05-22,53.06,Mall Outlet,Mall Outlet - Electric bill payment,Bills
7187,2025-02-01,19.5,Uber Eats,Uber Eats - Prescription purchase,Transport
7188,2025-10-12,12.77,Waterworks,Waterworks - Taxi ride,Bills
7189,2026-05-14,76.62,Vang-Murphy,Electric bill payment,Bills
7190,2025-10-09,9.92,"Wagner, Perez and Hall","Wagner, Perez and Hall - Lunch with friends",Travel
7191,2024-08-11,30.01,Starbucks Coffee,Starbucks Coffee - Gas refill,Bills
7192,2026-08-23,9.1,Corner Grocery,Corner Grocery - Lunch with friends,Others
7193,2024-12-22,17.77,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
7194,2023-09-01,44.65,Waterworks,Waterworks - Lunch with friends,Bills
7195,2025-08-20,43.51,White and Sons,White and Sons - Course fee,Others
7196,2024-02-16,36.1,Netflix Streaming,Gas refill,Entertainment
7197,2024-01-15,24.55,State University,State University - Course fee,Education
7198,2026-05-04,1.18,Mall Outlet,Mall Outlet - Grocery shopping,Utilities
7199,2026-06-23,13.86,Electric Company,Electric Company - Electric bill payment,Bills
7200,2025-04-21,10.73,Kane-Smith,Kane-Smith - Hotel stay,Travel
7201,2026-07-30,1.34,Vasquez-Figueroa,Vasquez-Figueroa - Gas refill,Bills
7202,2025-06-08,18.74,Starbucks Coffee,Starbucks Coffee - Prescription purchase,Food
7203,2025-06-03,18.61,Burch PLC,Burch PLC - Lunch with friends,Others
7204,2025-10-15,3.09,State University,State University - Gas refill,Education
7205,2024-02-12,1.21,"Hanson, Romero and Rich","Hanson, Romero and Rich - Taxi ride",Travel
7206,2024-08-14,13.63,Local High School,Local High School - Grocery shopping,Education
7207,2025-06-17,9.14,Local High School,Local High School - Prescription purchase,Education
7208,2026-08-27,27.25,"Thomas, Miller and Benton",Lunch with friends,Travel
7209,2023-12-07,5.83,Electric Company,Electric Company - Flight booking,Bills
7210,2026-03-02,36.23,Joe's Pizza,Joe's Pizza - Online purchase,Food
7211,2026-08-18,26.63,Lyft,Lyft - Taxi ride,Transport
7212,2023-12-15,18.23,Gas Station,Taxi ride,Bills
7213,2026-08-02,11.18,Netflix Streaming,Prescription purchase,Entertainment
7214,2025-05-12,54.93,Spotify,Spotify - Flight booking,Entertainment
7215,2025-11-02,1.83,Starbucks Coffee,Hotel stay,Travel
7216,2024-11-28,30.29,Local High School,Local High School - Prescription purchase,Education
7217,2026-08-15,76.01,"Howell, Parker and Mason",Flight booking,Education
7218,2026-08-01,23.08,Uber Eats,Electric bill payment,Transport
7219,2026-01-02,23.73,Lyft,Lyft - Online purchase,Transport
7220,2025-07-24,71.49,Amazon Marketplace,Online purchase,Shopping
7221,2026-07-01,3.36,City Hospital,Electric bill payment,Bills
7222,2025-08-09,11.91,"Dean, Davis and Goodman",Flight booking,Entertainment
7223,2024-05-24,75.18,Morgan LLC,Hotel stay,Travel
7224,2026-02-06,71.52,Ford-Gibbs,Ford-Gibbs - Grocery shopping,Shopping
7225,2024-04-17,46.08,State University,Course fee,Education
7226,2025-12-20,2.03,Lyft,Lyft - Gas refill,Transport
7227,2025-12-21,88.67,"Nichols, Copeland and Byrd","Nichols, Copeland and Byrd - Flight booking",Utilities
7228,2026-06-20,49.76,Gas Station,Gas Station - Gas refill,Bills
7229,2023-11-09,24.08,Gas Station,Grocery shopping,Bills
7230,2024-11-16,62.76,CVS Pharmacy,CVS Pharmacy - Prescription purchase,Health
7231,2026-07-26,41.58,Greene Ltd,Electric bill payment,Bills
7232,2025-06-25,7.35,Electric Company,Hotel stay,Travel
7233,2024-08-12,46.52,Phillips and Sons,Electric bill payment,Bills
7234,2024-12-08,27.37,Spotify,Spotify - Monthly subscription,Entertainment
7235,2026-01-22,16.2,"Reynolds, Camacho and Miller","Reynolds, Camacho and Miller - Gas refill",Bills
7236,2023-09-12,27.21,Amazon Marketplace,Amazon Marketplace - Online purchase,Shopping
7237,2024-12-26,28.58,Waterworks,Gas refill,Bills
7238,2024-12-20,10.35,"Mckenzie, Gordon and Galvan",Lunch with friends,Shopping
7239,2023-11-05,5.36,Corner Grocery,Corner Grocery - Course fee,Others
7240,2023-11-15,15.35,"Baker, Prince and Allen","Baker, Prince and Allen - Gas refill",Bills
7241,2024-04-07,6.14,Electric Company,Electric Company - Monthly subscription,Bills
7242,2025-10-26,89.75,Local High School,Local High School - Monthly subscription,Education
7243,2024-09-26,17.96,"Moore, Randall and Walsh",Online purchase,Others
7244,2023-08-31,31.63,Local Taxi,Local Taxi - Electric bill payment,Bills
7245,2025-12-22,33.12,Waterworks,Waterworks - Grocery shopping,Bills
7246,2025-11-06,115.32,Cook Inc,Taxi ride,Travel
7247,2025-11-10,66.89,Waterworks,Waterworks - Flight booking,Bills
7248,2024-07-03,1.42,Waterworks,Monthly subscription,Bills
7249,2024-12-30,26.34,Walmart Supercenter,Electric bill payment,Shopping
7250,2025-03-29,11.33,Hilton Hotels,Hilton Hotels - Flight booking,Travel
7251,2026-02-21,1.77,Yates-Walker,Yates-Walker - Monthly subscription,Utilities
7252,2025-10-25,61.28,Local High School,Course fee,Education
7253,2024-08-10,1.51,Uber Eats,Uber Eats - Flight booking,Transport
7254,2024-01-08,45.18,Hickman-Mathews,Hickman-Mathews - Course fee,Education
7255,2023-12-30,36.93,Corner Grocery,Monthly subscription,Travel
7256,2024-12-14,52.46,Local Taxi,Electric bill payment,Bills
7257,2026-05-22,59.44,"Friedman, Becker and Hernandez","Friedman, Becker and Hernandez - Monthly subscription",Others
7258,2024-08-31,72.23,Mendoza Ltd,Electric bill payment,Bills
7259,2025-07-31,13.74,Waterworks,Gas refill,Bills
7260,2023-10-27,73.09,Anderson Ltd,Anderson Ltd - Online purchase,Bills
7261,2024-11-18,24.79,Corner Grocery,Prescription purchase,Transport
7262,2026-03-27,24.25,Hoffman LLC,Hoffman LLC - Online purchase,Entertainment
7263,2024-02-26,16.89,Local Taxi,Local Taxi - Grocery shopping,Food
7264,2026-01-20,69.23,Corner Grocery,Grocery shopping,Food
7265,2025-01-02,34.94,Hilton Hotels,Hilton Hotels - Grocery shopping,Travel
7266,2024-01-11,11.17,"Chandler, Wright and Nelson","Chandler, Wright and Nelson - Flight booking",Shopping
7267,2024-03-14,5.53,Spotify,Spotify - Taxi ride,Entertainment
7268,2024-10-02,4.47,Delta Airlines,Hotel stay,Travel
7269,2026-08-04,77.98,Pugh Group,Pugh Group - Course fee,Shopping
7270,2024-09-14,45.37,"Smith, Chung and Perry",Electric bill payment,Bills
7271,2025-08-08,3.72,Hilton Hotels,Hilton Hotels - Gas refill,Travel
7272,2025-11-19,5.34,"Price, Shea and Thomas",Taxi ride,Entertainment
7273,2024-04-08,8.56,Lyft,Lyft - Monthly subscription,Transport
7274,2023-12-31,55.74,Local High School,Electric bill payment,Education
7275,2024-12-14,5.55,Mall Outlet,Mall Outlet - Electric bill payment,Bills
7276,2024-05-30,3.36,Hilton Hotels,Monthly subscription,Travel
7277,2024-03-21,136.04,Uber Eats,Uber Eats - Hotel stay,Transport
7278,2024-04-11,10.71,Delta Airlines,Prescription purchase,Travel
7279,2023-10-17,4.04,Starbucks Coffee,Starbucks Coffee - Taxi ride,Utilities
7280,2024-01-31,133.18,Starbucks Coffee,Starbucks Coffee - Taxi ride,Food
7281,2026-06-22,42.68,"Manning, Williams and Gomez",Course fee,Utilities
7282,2025-03-10,14.12,Corner Grocery,Taxi ride,Others
7283,2024-09-13,19.79,Brown Ltd,Grocery shopping,Travel
7284,2024-08-09,4.26,Lyft,Lyft - Electric bill payment,Transport
7285,2026-01-17,96.61,Netflix Streaming,Netflix Streaming - Grocery shopping,Entertainment
7286,2025-12-23,3.54,Walmart Supercenter,Walmart Supercenter - Monthly subscription,Shopping
7287,2025-01-06,16.94,Walmart Supercenter,Walmart Supercenter - Gas refill,Shopping
7288,2024-10-10,11.92,Martin PLC,Course fee,Food
7289,2024-12-06,66.32,House-Wood,House-Wood - Lunch with friends,Entertainment
7290,2024-02-09,4.51,Walmart Supercenter,Walmart Supercenter - Electric bill payment,Shopping
7291,2023-12-28,218.09,Waterworks,Waterworks - Hotel stay,Travel
7292,2025-01-07,54.91,"Ruiz, Vasquez and Roberson",Lunch with friends,Health
7293,2025-03-25,4.78,CVS Pharmacy,CVS Pharmacy - Course fee,Health
7294,2025-12-04,21.42,Starbucks Coffee,Starbucks Coffee - Hotel stay,Travel
7295,2025-10-06,9.64,Washington PLC,Washington PLC - Gas refill,Bills
7296,2023-12-22,15.04,Morris Group,Morris Group - Hotel stay,Travel
7297,2025-11-30,25.77,Martinez PLC,Martinez PLC - Taxi ride,Food
7298,2026-05-23,25.61,Walmart Supercenter,Walmart Supercenter - Gas refill,Shopping
7299,2025-10-26,67.7,Spotify,Spotify - Prescription purchase,Entertainment
7300,2024-04-24,8.97,Walmart Supercenter,Walmart Supercenter - Online purchase,Shopping
7301,2025-11-17,8.65,Anderson and Sons,Anderson and Sons - Online purchase,Transport
7302,2026-08-05,51.95,Lyft,Lyft - Gas refill,Transport
7303,2024-06-20,39.38,Uber Eats,Uber Eats - Lunch with friends,Transport
7304,2024-03-15,112.98,Wilson-Little,Grocery shopping,Others
7305,2026-07-28,60.45,Lyft,Lyft - Gas refill,Transport
7306,2026-02-22,6.61,Local High School,Grocery shopping,Education
7307,2024-12-07,28.41,Local Taxi,Local Taxi - Prescription purchase,Health
7308,2026-07-22,9.6,Local Taxi,Local Taxi - Flight booking,Entertainment
7309,2025-11-25,7.95,State University,State University - Monthly subscription,Education
7310,2024-11-14,89.24,Waterworks,Flight booking,Bills
7311,2023-09-03,24.53,Local High School,Local High School - Grocery shopping,Education
7312,2023-09-17,132.07,Delta Airlines,Delta Airlines - Taxi ride,Travel
7313,2024-05-15,12.49,Delta Airlines,Hotel stay,Travel
7314,2024-10-10,38.34,Spotify,Hotel stay,Travel
7315,2026-08-29,14.58,Starbucks Coffee,Course fee,Shopping
7316,2024-07-27,4.29,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
7317,2025-02-04,5.36,Local Taxi,Local Taxi - Lunch with friends,Entertainment
7318,2025-04-17,115.46,Mall Outlet,Mall Outlet - Gas refill,Bills
7319,2024-07-17,14.04,Electric Company,Electric Company - Monthly subscription,Bills
7320,2023-10-16,18.0,Local Taxi,Taxi ride,Travel
7321,2026-07-08,21.09,Ho Ltd,Ho Ltd - Course fee,Health
7322,2024-05-17,42.38,Mall Outlet,Online purchase,Others
7323,2024-09-19,85.88,Hilton Hotels,Hilton Hotels - Lunch with friends,Travel
7324,2023-12-10,25.77,Gas Station,Gas Station - Grocery shopping,Bills
7325,2025-03-09,16.25,Delta Airlines,Delta Airlines - Gas refill,Travel
7326,2026-06-24,5.94,Netflix Streaming,Lunch with friends,Entertainment
7327,2023-12-11,4.26,Mcknight PLC,Mcknight PLC - Hotel stay,Travel
7328,2024-09-19,26.06,Netflix Streaming,Netflix Streaming - Electric bill payment,Entertainment
7329,2025-06-18,16.1,Spotify,Spotify - Taxi ride,Entertainment
7330,2025-07-03,22.51,"Crawford, Rodgers and Scott",Flight booking,Education
7331,2023-09-02,16.47,City Hospital,City Hospital - Lunch with friends,Bills
7332,2024-01-20,4.65,CVS Pharmacy,CVS Pharmacy - Prescription purchase,Health
7333,2025-04-04,14.04,Uber Eats,Monthly subscription,Transport
7334,2024-11-17,5.15,Spotify,Taxi ride,Entertainment
7335,2026-06-15,120.81,White Ltd,White Ltd - Taxi ride,Others
7336,2026-04-04,8.77,City Hospital,City Hospital - Gas refill,Bills
7337,2024-04-18,6.35,CVS Pharmacy,CVS Pharmacy - Grocery shopping,Health
7338,2024-07-26,45.68,Walmart Supercenter,Walmart Supercenter - Hotel stay,Travel
7339,2023-10-29,2.5,Leonard LLC,Leonard LLC - Prescription purchase,Food
7340,2025-03-16,46.19,Rose LLC,Rose LLC - Flight booking,Shopping
7341,2025-08-11,15.68,Martinez-Kidd,Martinez-Kidd - Grocery shopping,Shopping
7342,2024-02-04,26.39,Davis Group,Davis Group - Prescription purchase,Bills
7343,2023-11-30,4.82,Trevino Group,Trevino Group - Online purchase,Others
7344,2024-06-23,5.26,State University,State University - Lunch with friends,Education
7345,2026-06-21,65.85,Amazon Marketplace,Hotel stay,Travel
7346,2026-04-15,32.57,Local Taxi,Course fee,Food
7347,2025-10-12,64.67,Starbucks Coffee,Starbucks Coffee - Grocery shopping,Travel
7348,2024-11-05,7.71,City Hospital,Taxi ride,Food
7349,2026-02-09,82.64,"Ponce, Martin and Smith",Hotel stay,Travel
7350,2026-05-27,55.11,Netflix Streaming,Prescription purchase,Entertainment
7351,2025-11-13,6.53,Lyft,Flight booking,Transport
7352,2025-01-04,30.36,Local High School,Local High School - Online purchase,Education
7353,2026-06-03,11.51,State University,Gas refill,Education
7354,2024-06-12,42.55,Hilton Hotels,Hilton Hotels - Online purchase,Travel
7355,2025-10-06,38.05,Mall Outlet,Taxi ride,Health
7356,2025-11-21,22.13,Powell-Nelson,Course fee,Shopping
7357,2025-03-19,52.6,Johnston-Boone,Johnston-Boone - Course fee,Health
7358,2026-04-03,75.46,Gas Station,Taxi ride,Bills
7359,2024-05-19,1.28,City Hospital,City Hospital - Electric bill payment,Bills
7360,2024-07-08,18.83,Local Taxi,Local Taxi - Electric bill payment,Bills
7361,2026-03-31,44.61,Hilton Hotels,Hilton Hotels - Taxi ride,Travel
7362,2024-05-05,32.75,Corner Grocery,Corner Grocery - Prescription purchase,Education
7363,2023-12-05,10.52,Smith PLC,Monthly subscription,Others
7364,2026-02-19,4.2,Hilton Hotels,Prescription purchase,Travel
7365,2023-09-30,11.14,Torres PLC,Torres PLC - Gas refill,Bills
7366,2023-09-18,43.38,Gonzalez-Flores,Gonzalez-Flores - Hotel stay,Travel
7367,2025-07-26,25.88,Local Taxi,Gas refill,Bills
7368,2026-06-15,72.0,Burke-Jordan,Burke-Jordan - Monthly subscription,Entertainment
7369,2023-10-04,39.47,Corner Grocery,Course fee,Food
7370,2026-06-01,65.54,Lyft,Course fee,Transport
7371,2026-07-28,86.24,Mall Outlet,Mall Outlet - Gas refill,Bills
7372,2023-11-15,3.64,Waterworks,Waterworks - Hotel stay,Travel
7373,2024-12-12,13.42,Electric Company,Electric Company - Online purchase,Bills
7374,2023-10-26,32.28,Turner PLC,Turner PLC - Prescription purchase,Food
7375,2024-08-22,68.58,"Little, Martinez and Taylor","Little, Martinez and Taylor - Lunch with friends",Shopping
7376,2024-03-06,96.93,Joe's Pizza,Hotel stay,Food
7377,2026-07-09,21.37,Lyft,Lyft - Lunch with friends,Transport
7378,2025-01-17,18.14,Lyft,Hotel stay,Transport
7379,2026-08-02,23.04,City Hospital,Taxi ride,Others
7380,2026-08-25,30.34,"Hill, Jacobs and Pena",Grocery shopping,Transport
7381,2023-12-06,16.83,Delta Airlines,Flight booking,Travel
7382,2024-11-02,44.52,Netflix Streaming,Netflix Streaming - Online purchase,Entertainment
7383,2025-04-21,39.9,Waterworks,Waterworks - Flight booking,Bills
7384,2023-09-13,10.57,Spotify,Spotify - Monthly subscription,Entertainment
7385,2025-08-24,9.78,"Cordova, Washington and Franco","Cordova, Washington and Franco - Online purchase",Health
7386,2024-03-19,21.87,"Clark, Jackson and Russell",Prescription purchase,Shopping
7387,2025-08-11,242.69,Lyft,Lyft - Online purchase,Transport
7388,2025-12-18,6.75,Waterworks,Waterworks - Lunch with friends,Bills
7389,2024-06-11,2.64,Carey-Hanna,Lunch with friends,Bills
7390,2024-12-10,35.39,Netflix Streaming,Netflix Streaming - Monthly subscription,Entertainment
7391,2024-01-09,92.57,Spotify,Hotel stay,Travel
7392,2026-01-11,34.75,Netflix Streaming,Netflix Streaming - Course fee,Entertainment
7393,2025-01-17,12.45,Murillo-Boyd,Murillo-Boyd - Monthly subscription,Travel
7394,2024-10-14,86.44,Waterworks,Lunch with friends,Bills
7395,2023-10-08,46.97,"Grant, Davis and Brady","Grant, Davis and Brady - Hotel stay",Travel
7396,2023-09-13,9.59,Starbucks Coffee,Starbucks Coffee - Lunch with friends,Entertainment
7397,2025-06-05,23.16,"Hoover, Bolton and Chen","Hoover, Bolton and Chen - Hotel stay",Travel
7398,2023-10-15,5.27,Local Taxi,Prescription purchase,Education
7399,2025-09-09,1.49,Gas Station,Gas Station - Electric bill payment,Bills
7400,2024-05-12,7.52,Wilson and Sons,Wilson and Sons - Gas refill,Bills
7401,2024-03-19,23.01,Spotify,Grocery shopping,Entertainment
7402,2025-12-18,22.49,Waterworks,Taxi ride,Bills
7403,2025-10-25,18.3,Spotify,Spotify - Online purchase,Entertainment
7404,2026-06-28,20.98,Electric Company,Electric Company - Prescription purchase,Bills
7405,2024-06-06,26.18,Netflix Streaming,Netflix Streaming - Electric bill payment,Entertainment
7406,2023-12-13,37.56,Mall Outlet,Flight booking,Food
7407,2025-01-09,23.96,Mall Outlet,Mall Outlet - Electric bill payment,Bills
7408,2023-11-13,3.14,Delta Airlines,Delta Airlines - Online purchase,Travel
7409,2023-10-16,22.77,"Santos, Lee and Allen",Electric bill payment,Bills
7410,2024-03-11,9.75,Mcintyre-Wilson,Mcintyre-Wilson - Online purchase,Food
7411,2026-04-06,11.77,Uber Eats,Prescription purchase,Transport
7412,2025-09-27,37.81,"Roberts, Krause and Welch","Roberts, Krause and Welch - Grocery shopping",Health
7413,2024-07-13,2.04,Joe's Pizza,Joe's Pizza - Course fee,Food
7414,2025-02-26,99.26,Taylor LLC,Prescription purchase,Travel
7415,2024-05-02,8.48,Lyft,Gas refill,Transport
7416,2024-11-11,3.87,Gas Station,Gas Station - Monthly subscription,Bills
7417,2026-03-13,52.14,Gas Station,Gas Station - Lunch with friends,Bills
7418,2025-08-01,58.28,Waterworks,Grocery shopping,Bills
7419,2024-02-09,21.63,Harris LLC,Prescription purchase,Shopping
7420,2025-07-04,26.74,Waterworks,Waterworks - Gas refill,Bills
7421,2025-11-08,8.05,Bradford Group,Online purchase,Entertainment
7422,2025-12-20,13.19,Amazon Marketplace,Amazon Marketplace - Grocery shopping,Shopping
7423,2024-03-25,14.28,Joe's Pizza,Lunch with friends,Food
7424,2024-06-20,10.54,Mall Outlet,Mall Outlet - Gas refill,Bills
7425,2026-08-01,3.25,Lyft,Lyft - Course fee,Transport
7426,2025-04-01,57.73,Starbucks Coffee,Electric bill payment,Bills
7427,2023-11-09,53.44,Alexander-Bruce,Alexander-Bruce - Grocery shopping,Shopping
7428,2024-09-22,14.06,Nash Inc,Nash Inc - Electric bill payment,Bills
7429,2026-02-04,16.05,Lyft,Lyft - Monthly subscription,Transport
7430,2024-01-20,38.75,State University,State University - Prescription purchase,Education
7431,2025-11-28,4.69,Lyft,Taxi ride,Transport
7432,2024-11-06,7.37,Miles-Barrera,Miles-Barrera - Flight booking,Shopping
7433,2024-05-02,16.77,Waterworks,Flight booking,Bills
7434,2025-07-04,57.68,City Hospital,Course fee,Shopping
7435,2024-08-17,7.64,Thompson-Hicks,Thompson-Hicks - Course fee,Utilities
7436,2025-05-21,39.12,Mall Outlet,Lunch with friends,Transport
7437,2025-10-01,72.69,Amazon Marketplace,Amazon Marketplace - Flight booking,Shopping
